date,price
2026-04-06,97.705
2026-04-07,96.01
2026-04-08,96.79
2026-04-09,95.58
2026-04-10,95.4
2026-04-13,98.15
2026-04-14,100.4
2026-04-15,100.01
2026-04-16,101.96
2026-04-17,104.65
2026-04-20,107.13
2026-04-21,105.4
2026-04-22,105.63
2026-04-23,103.4
2026-04-24,97.94
2026-04-27,100.29
2026-04-28,100.36
2026-04-29,103.79
2026-04-30,103.48
2026-05-01,104.07
2026-05-04,109.33
2026-05-05,105.26
2026-05-06,108.15
2026-05-07,106.42
2026-05-08,107.69
2026-05-11,108.13
2026-05-12,110.4
2026-05-13,113.01
2026-05-14,113.24
2026-05-15,116.13
2026-05-18,114.43
2026-05-19,114.24
2026-05-20,118.96
2026-05-21,117.13
2026-05-22,115.75
2026-05-26,115.31
2026-05-27,110.36
2026-05-28,112.13
2026-05-29,109.27
2026-06-01,110.35
2026-06-02,108.88
2026-06-03,108.82
2026-06-04,109.15
2026-06-05,109.35
2026-06-08,108.44
2026-06-09,108.66
2026-06-10,106.41
2026-06-11,109.61
2026-06-12,108.61
2026-06-15,109.18
2026-06-16,109.32
2026-06-17,107.89
2026-06-18,108.24
2026-06-22,104.94
2026-06-23,108.97
2026-06-24,109.45
2026-06-25,108.0
2026-06-26,107.87
2026-06-29,110.8
2026-06-30,111.75
2026-07-01,111.28
2026-07-02,114.84
2026-07-06,113.67
2026-07-07,114.71
2026-07-08,115.25
2026-07-09,117.33
2026-07-10,117.2
2026-07-13,115.09
2026-07-14,112.54
2026-07-15,112.76
2026-07-16,110.91
2026-07-17,112.06
2026-07-20,114.19
2026-07-21,113.045
2026-07-22,110.95
2026-07-23,109.32
2026-07-24,109.39
2026-07-27,113.21
2026-07-28,117.44
2026-07-29,115.3
2026-07-30,113.52
2026-07-31,114.01
2026-08-03,107.13
2026-08-04,109.61
2026-08-05,111.15
2026-08-06,110.14
2026-08-07,111.98
2026-08-10,107.71
2026-08-11,106.01
2026-08-12,102.31
2026-08-13,104.58
2026-08-14,103.14
2026-08-17,100.94
2026-08-18,102.27
2026-08-19,102.64
2026-08-20,104.61
2026-08-21,104.13
2026-08-24,107.08
2026-08-25,106.0
2026-08-26,104.2
