product_id,product_line,product_name,brand,sport,season_label,release_year,release_date,box_format,format_channel,currency,cards_per_pack,packs_per_box,boxes_per_case,cards_per_box,stated_autos_per_box,stated_autos_per_case,auto_odds_pack,auto_odds_basis,ssp_odds_pack,srp_usd,retail_price_usd,retail_price_asof,retail_price_source,base_set_size,odds_source_url,source_note
2025-26-topps-chrome-bkb-hobby,2025-26 Topps Chrome Basketball,2025-26 Topps Chrome Basketball Hobby,Topps,Basketball,2025-26,2025,2025-12-18,Hobby,hobby,USD,4,20,12,80,1,,2361,published,26121,379.99,379.99,2026-08-27,srp_placeholder (box out of stock at Blowout on price date),299,https://www.checklistinsider.com/2025-26-topps-chrome-basketball,
2025-26-topps-chrome-bkb-jumbo,2025-26 Topps Chrome Basketball,2025-26 Topps Chrome Basketball Jumbo,Topps,Basketball,2025-26,2025,2025-12-18,Jumbo,hobby,USD,11,12,8,132,3,,693,published,7698,699.99,699.99,2026-08-27,srp_placeholder,299,https://www.checklistinsider.com/2025-26-topps-chrome-basketball,
2025-26-topps-chrome-bkb-jumbo-fdi,2025-26 Topps Chrome Basketball,2025-26 Topps Chrome Basketball Jumbo First Day Issue,Topps,Basketball,2025-26,2025,2025-12-18,Jumbo First Day Issue,premium,USD,11,12,8,132,3,,693,published,7698,3500.0,3500.0,2026-08-27,"srp_placeholder (reverse Dutch auction opens $3,500)",299,https://www.checklistinsider.com/2025-26-topps-chrome-basketball,
2025-26-topps-chrome-bkb-breakers-delight,2025-26 Topps Chrome Basketball,2025-26 Topps Chrome Basketball Breakers Delight,Topps,Basketball,2025-26,2025,2025-12-18,Breakers Delight,breaker,USD,10,1,6,10,2,,67,published,1256,,,,,299,https://www.checklistinsider.com/2025-26-topps-chrome-basketball,
2025-26-topps-chrome-bkb-mega,2025-26 Topps Chrome Basketball,2025-26 Topps Chrome Basketball Mega,Topps,Basketball,2025-26,2025,2025-12-18,Mega,retail,USD,8,7,20,56,0,,53647,published,126227,84.99,84.99,2026-08-27,srp_placeholder,299,https://www.checklistinsider.com/2025-26-topps-chrome-basketball,
2025-26-topps-chrome-bkb-value-blaster,2025-26 Topps Chrome Basketball,2025-26 Topps Chrome Basketball Value Blaster,Topps,Basketball,2025-26,2025,2025-12-18,Value Blaster,retail,USD,4,7,40,28,0,,101867,published,254668,49.99,49.99,2026-08-27,srp_placeholder,299,https://www.checklistinsider.com/2025-26-topps-chrome-basketball,
2025-26-topps-chrome-bkb-hanger,2025-26 Topps Chrome Basketball,2025-26 Topps Chrome Basketball Hanger,Topps,Basketball,2025-26,2025,2025-12-18,Hanger,retail,USD,15,1,,15,0,,12648,published,29760,19.99,19.99,2026-08-27,srp_placeholder,299,https://www.checklistinsider.com/2025-26-topps-chrome-basketball,ssp/auto odds are per box (hanger = 1 pack)
2025-26-topps-chrome-update-bkb-hobby,2025-26 Topps Chrome Update Series Basketball,2025-26 Topps Chrome Update Series Basketball Hobby,Topps,Basketball,2025-26,2026,2026-08-06,Hobby,hobby,USD,4,20,12,80,1,,141,published,6054,549.99,1099.95,2026-08-27,blowoutcards.com,200,https://www.checklistinsider.com/2025-26-topps-chrome-update-series-basketball,Cooper Flagg RDPA demand -> ~2x SRP
2025-26-topps-chrome-update-bkb-jumbo,2025-26 Topps Chrome Update Series Basketball,2025-26 Topps Chrome Update Series Basketball Jumbo,Topps,Basketball,2025-26,2026,2026-08-06,Jumbo,hobby,USD,11,12,8,132,3,,34,published,2415,1099.99,1099.99,2026-08-27,srp_placeholder,200,https://www.checklistinsider.com/2025-26-topps-chrome-update-series-basketball,
2025-26-topps-chrome-update-bkb-breakers-delight,2025-26 Topps Chrome Update Series Basketball,2025-26 Topps Chrome Update Series Basketball Breakers Delight,Topps,Basketball,2025-26,2026,2026-08-06,Breakers Delight,breaker,USD,6,1,6,6,2,,5,published,201,,,,,200,https://www.checklistinsider.com/2025-26-topps-chrome-update-series-basketball,
2025-26-topps-chrome-update-bkb-mega,2025-26 Topps Chrome Update Series Basketball,2025-26 Topps Chrome Update Series Basketball Mega,Topps,Basketball,2025-26,2026,2026-08-06,Mega,retail,USD,6,7,20,42,0,,,,112000,84.99,84.99,2026-08-27,srp_placeholder,200,https://www.checklistinsider.com/2025-26-topps-chrome-update-series-basketball,
2025-26-topps-chrome-update-bkb-value-blaster,2025-26 Topps Chrome Update Series Basketball,2025-26 Topps Chrome Update Series Basketball Value Blaster,Topps,Basketball,2025-26,2026,2026-08-06,Value Blaster,retail,USD,4,7,40,28,0,,30619,published,17365,44.99,44.99,2026-08-27,srp_placeholder,200,https://www.checklistinsider.com/2025-26-topps-chrome-update-series-basketball,
2025-26-topps-nba-hoops-hobby,2025-26 Topps NBA Hoops,2025-26 Topps NBA Hoops Hobby,Topps,Basketball,2025-26,2026,2026-05-14,Hobby,hobby,USD,8,20,12,160,1,,20.0,derived_from_guarantee,,279.99,259.95,2026-08-27,blowoutcards.com,300,https://www.checklistinsider.com/2025-26-topps-nba-hoops-basketball,SSP odds not published by format
2025-26-topps-nba-hoops-jumbo,2025-26 Topps NBA Hoops,2025-26 Topps NBA Hoops Jumbo,Topps,Basketball,2025-26,2026,2026-05-14,Jumbo,hobby,USD,20,10,8,200,2,,5.0,derived_from_guarantee,,519.99,519.99,2026-08-27,srp_placeholder,300,https://www.checklistinsider.com/2025-26-topps-nba-hoops-basketball,
2025-26-topps-nba-hoops-value-blaster,2025-26 Topps NBA Hoops,2025-26 Topps NBA Hoops Value Blaster,Topps,Basketball,2025-26,2026,2026-05-14,Value Blaster,retail,USD,8,7,40,56,0,,,,,34.99,34.99,2026-08-27,srp_placeholder,300,https://www.checklistinsider.com/2025-26-topps-nba-hoops-basketball,
