product,line,box_format,channel,packs,ev,srp,retail,price,ev_per_price,ev_per_pack,basis
2025-26 Bowman Basketball Jumbo,2025-26 Bowman Basketball,Jumbo,hobby,12.0,756.8,599.99,599.99,599.99,1.261,63.07,autos+ssp+base
2025-26 Topps NBA Hoops Hobby,2025-26 Topps NBA Hoops,Hobby,hobby,20.0,290.24,279.99,259.95,259.95,1.117,14.51,tier_ladder
2025-26 Topps NBA Hoops Jumbo,2025-26 Topps NBA Hoops,Jumbo,hobby,10.0,539.6,519.99,519.99,519.99,1.038,53.96,autos+ssp+base
2025-26 Bowman Basketball Mega,2025-26 Bowman Basketball,Mega,retail,6.0,43.36,59.99,59.99,59.99,0.723,7.23,autos+ssp+base
2025-26 Topps Chrome Basketball Hobby,2025-26 Topps Chrome Basketball,Hobby,hobby,20.0,218.5,379.99,379.99,379.99,0.575,10.93,tier_ladder
2025-26 Topps Chrome Basketball Jumbo,2025-26 Topps Chrome Basketball,Jumbo,hobby,12.0,401.03,699.99,699.99,699.99,0.573,33.42,autos+ssp+base
2025-26 Topps Signature Class Basketball Jumbo,2025-26 Topps Signature Class Basketball,Jumbo,hobby,4.0,407.2,899.99,899.99,899.99,0.452,101.8,autos+ssp+base
2025-26 Bowman Basketball Value Blaster,2025-26 Bowman Basketball,Value Blaster,retail,6.0,12.0,29.99,29.99,29.99,0.4,2.0,autos+ssp+base
2025-26 Topps Signature Class Basketball Hobby,2025-26 Topps Signature Class Basketball,Hobby,hobby,8.0,183.01,549.99,549.99,549.99,0.333,22.88,tier_ladder
2025-26 Topps Chrome Update Series Basketball Jumbo,2025-26 Topps Chrome Update Series Basketball,Jumbo,hobby,12.0,363.25,1099.99,1099.99,1099.99,0.33,30.27,autos+ssp+base
2025-26 Bowman Basketball Hobby,2025-26 Bowman Basketball,Hobby,hobby,20.0,161.52,359.99,499.95,499.95,0.323,8.08,tier_ladder
2025-26 Topps NBA Hoops Fanatics Value Blaster,2025-26 Topps NBA Hoops,Fanatics Value Blaster,retail,8.0,12.8,39.99,39.99,39.99,0.32,1.6,autos+ssp+base
2025-26 Topps NBA Hoops Value Blaster,2025-26 Topps NBA Hoops,Value Blaster,retail,7.0,11.2,34.99,34.99,34.99,0.32,1.6,autos+ssp+base
2025-26 Topps Signature Class Basketball Mega,2025-26 Topps Signature Class Basketball,Mega,retail,10.0,16.0,64.99,64.99,64.99,0.246,1.6,autos+ssp+base
2025-26 Topps Signature Class Basketball Value Blaster,2025-26 Topps Signature Class Basketball,Value Blaster,retail,6.0,8.4,34.99,34.99,34.99,0.24,1.4,autos+ssp+base
2025-26 Topps Chrome Update Series Basketball Hobby,2025-26 Topps Chrome Update Series Basketball,Hobby,hobby,20.0,255.43,549.99,1099.95,1099.95,0.232,12.77,tier_ladder
2025-26 Topps Chrome Update Series Basketball Value Blaster,2025-26 Topps Chrome Update Series Basketball,Value Blaster,retail,7.0,8.66,44.99,44.99,44.99,0.193,1.24,autos+ssp+base
2025-26 Topps Cosmic Chrome Basketball Hobby,2025-26 Topps Cosmic Chrome Basketball,Hobby,hobby,20.0,185.41,579.99,1100.0,1100.0,0.169,9.27,tier_ladder
2025-26 Topps Chrome Basketball Hanger,2025-26 Topps Chrome Basketball,Hanger,retail,1.0,3.01,19.99,19.99,19.99,0.151,3.01,autos+ssp+base
2025-26 Topps Chrome Basketball Mega,2025-26 Topps Chrome Basketball,Mega,retail,7.0,11.22,84.99,84.99,84.99,0.132,1.6,autos+ssp+base
2025-26 Topps Chrome Basketball Jumbo First Day Issue,2025-26 Topps Chrome Basketball,Jumbo First Day Issue,premium,12.0,401.03,3500.0,3500.0,3500.0,0.115,33.42,autos+ssp+base
2025-26 Topps Chrome Basketball Value Blaster,2025-26 Topps Chrome Basketball,Value Blaster,retail,7.0,5.61,49.99,49.99,49.99,0.112,0.8,autos+ssp+base
2025-26 Topps Chrome Update Series Basketball Mega,2025-26 Topps Chrome Update Series Basketball,Mega,retail,7.0,8.87,84.99,84.99,84.99,0.104,1.27,autos+ssp+base
2025-26 Topps Cosmic Chrome Basketball First Day Issue,2025-26 Topps Cosmic Chrome Basketball,First Day Issue,premium,20.0,40.95,1575.0,1575.0,1575.0,0.026,2.05,autos+ssp+base
2025-26 Topps Chrome Basketball Breakers Delight,2025-26 Topps Chrome Basketball,Breakers Delight,breaker,1.0,251.72,,,,,251.72,autos+ssp+base
2025-26 Topps Chrome Update Series Basketball Breakers Delight,2025-26 Topps Chrome Update Series Basketball,Breakers Delight,breaker,1.0,238.3,,,,,238.3,autos+ssp+base
2025-26 Topps NBA Hoops Hanger,2025-26 Topps NBA Hoops,Hanger,retail,1.0,5.0,,,,,5.0,autos+ssp+base
2025-26 Topps Cosmic Chrome Basketball Lunar,2025-26 Topps Cosmic Chrome Basketball,Lunar,hobby,20.0,40.95,,,,,2.05,autos+ssp+base
2025-26 Bowman Basketball Breakers Delight,2025-26 Bowman Basketball,Breakers Delight,breaker,1.0,526.4,,,,,526.4,autos+ssp+base
