product_id,box_format,tier_name,tier_group,print_run,is_numbered,is_autograph,is_ssp,odds_pack,odds_box,est_value_usd,value_basis,source_note
2025-26-topps-chrome-bkb-hobby,Hobby,Base,base,,False,False,False,,,0.5,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Base Refractor,parallel,,False,False,False,3,0.15,3,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Prism Refractor,parallel,,False,False,False,5,0.25,3,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Wave Refractor,parallel,,False,False,False,14,0.7,3,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Negative Refractor,parallel,,False,False,False,31,1.55,8,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Magenta Refractor,parallel,399,True,False,False,47,2.35,12,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Teal Refractor,parallel,299,True,False,False,72,3.6,16,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Yellow Refractor,parallel,275,True,False,False,79,3.95,16,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Aqua Refractor,parallel,199,True,False,False,109,5.45,16,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Blue Refractor,parallel,150,True,False,False,145,7.25,28,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Blue Wave Refractor,parallel,150,True,False,False,113,5.65,28,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Green Refractor,parallel,99,True,False,False,219,10.95,45,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Green Wave Refractor,parallel,99,True,False,False,172,8.6,45,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Purple Refractor,parallel,75,True,False,False,290,14.5,45,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Purple Wave Refractor,parallel,75,True,False,False,227,11.35,45,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Gold Refractor,parallel,50,True,False,False,435,21.75,70,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Gold Wave Refractor,parallel,50,True,False,False,341,17.05,70,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Orange Refractor,parallel,25,True,False,False,870,43.5,120,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Orange Wave Refractor,parallel,25,True,False,False,684,34.2,120,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Black Refractor,parallel,10,True,False,False,2176,108.8,300,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Black Wave Refractor,parallel,10,True,False,False,1710,85.5,300,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Red Refractor,parallel,5,True,False,False,4353,217.65,550,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Red Wave Refractor,parallel,5,True,False,False,3420,171.0,550,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,FrozenFractor,parallel,5,True,False,False,4353,217.65,550,rough_estimate_v0,numbered /-5
2025-26-topps-chrome-bkb-hobby,Hobby,SuperFractor,parallel,1,True,False,False,21767,1088.35,4000,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Clutch Gene,insert,,False,False,False,11,0.55,5,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Destiny,insert,,False,False,False,17,0.85,12,rough_estimate_v0,
2025-26-topps-chrome-bkb-hobby,Hobby,Tall Tales,insert,,False,False,True,,,150,rough_estimate_v0,hobby-exclusive SSP; card-level odds only
