product_id,tier_name,tier_group,print_run,odds_pack,subject,last_sale_usd,sale_date,source_url,note
2025-26-topps-chrome-bkb-hobby,Red Refractor,parallel,5,4353,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-bkb-hobby,Red Wave Refractor,parallel,5,3420,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-bkb-hobby,FrozenFractor,parallel,5,4353,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-bkb-hobby,SuperFractor,parallel,1,21767,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-bkb-hobby,Tall Tales,insert,,,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-bkb-hobby,Inspirational,insert,,,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-bkb-hobby,X's and Whoa's,insert,,,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-bkb-hobby,Ultra Violet,insert,,,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-bkb-hobby,Topps Chrome Autographs,auto,,2361,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-update-bkb-hobby,Red Refractor,parallel,5,6054,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-update-bkb-hobby,Red Wave Refractor,parallel,5,3119,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-update-bkb-hobby,FrozenFractor,parallel,5,6054,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-update-bkb-hobby,SuperFractor,parallel,1,30361,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-update-bkb-hobby,Denim Tears,insert,,6054,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-update-bkb-hobby,NBA Debut Patch Autographs,auto,1,74733,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-chrome-update-bkb-hobby,Topps Chrome Autographs Spike Lee,auto,,138789,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-nba-hoops-hobby,Pixel Burst Red,parallel,5,1735,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-nba-hoops-hobby,Pixel Burst Platinum,parallel,1,8614,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-nba-hoops-hobby,Hoops Rookie Duals,auto,,1994,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-nba-hoops-hobby,Hoops Rookie Triples,auto,,9903,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-nba-hoops-hobby,Rookie Veteran Duals,auto,,19650,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-cosmic-chrome-bkb-hobby,Red Flare Refractor,parallel,5,1664,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-cosmic-chrome-bkb-hobby,SuperFractor,parallel,1,8319,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-cosmic-chrome-bkb-hobby,Cosmic Chrome Autographs II,auto,,31776,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-bowman-bkb-hobby,Base Red Border,parallel,5,7496,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-bowman-bkb-hobby,Chrome Red Refractor,parallel,5,7496,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-bowman-bkb-hobby,Chrome FireFractor,parallel,3,12522,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-bowman-bkb-hobby,Chrome SuperFractor,parallel,1,23046,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-bowman-bkb-hobby,Base Platinum Border,parallel,1,38005,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-bowman-bkb-hobby,Opening Statement Signatures,auto,,1731,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-bowman-bkb-hobby,Future Script,auto,,1889,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-bowman-bkb-hobby,Bowman Dual Autographs,auto,10,49233,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-signature-class-bkb-hobby,Blue Refractor,parallel,5,2851,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-signature-class-bkb-hobby,SuperFractor,parallel,1,14661,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-signature-class-bkb-hobby,Dual Autographs,auto,,2756,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
2025-26-topps-signature-class-bkb-hobby,Triple Autographs,auto,,4830,,,,,fill subject (e.g. Cooper Flagg) + most recent eBay sold
